date, pm25, pm10, o3, no2, so2, co
10/1/2024,93,47,9,10,1,16
10/2/2024,88,39,10,10, ,16
10/3/2024,80,47,9,10, ,16
10/4/2024,89,42,10,10,1,16
10/5/2024,82,44,10,9,1,17
10/6/2024,85,56,9,10, ,17
10/7/2024,101,46,11,10,1,16
10/8/2024,86,49,11,10, ,15
10/9/2024,89, , , , , 
7/1/2024,77,47,4,12,5,14
7/2/2024,77,48,6,12,4,15
7/3/2024,77,47,5,12,5,14
7/4/2024,58,32,6,12,5,14
7/5/2024,59,32,5,13,5,14
7/6/2024,59,32,9,12,4,14
7/7/2024,58,31,7,13,5,14
7/8/2024,58,31,7,12,5,13
7/9/2024,58, , , , , 
7/11/2024,51,53,4,13,5,16
7/12/2024,51,52,6,13,5,13
7/13/2024,51,52,6,12,5,13
7/14/2024,51,52,4,13,4, 
7/15/2024,51,52,4,13,4, 
7/16/2024,51,54, ,12,5,14
7/17/2024,51,52, ,13,5,13
7/18/2024,51,51,6,12,4,14
7/19/2024,56,39,6,12,5,13
7/24/2024,87,52,13,12,5,14
7/25/2024,77,59,12,12,5,13
7/26/2024,85,59,13,13,5,14
7/27/2024,85,60,13,12,4,13
7/28/2024,85, , , , , 
7/30/2024,82,47,14,12,4,14
7/31/2024,72,52,13,12,5,14
8/1/2024,72,45,13,11,5,13
8/2/2024,79,48,13,9,5,12
8/3/2024,85,45,15,11,5,12
8/4/2024,80,48,15,11,5,11
8/5/2024,82,41,12,10,3,8
8/6/2024,77,35,7,12,2,4
8/7/2024,85,36,8,12,2,4
8/8/2024,85,44,9,12,2,7
8/9/2024,87,54,11,12,2,9
8/10/2024,87,52,12,12,2,9
8/11/2024,85,52,11,12,3,10
8/12/2024,84,53,17,11,2,12
8/13/2024,91,53,19,12,2,13
8/14/2024,95,47,19,12,2,13
8/15/2024,88,49,34,12,2,13
8/16/2024,92,49,19,12,2,13
8/17/2024,91,44,24,12,2,13
8/18/2024,84,49,12,12,2,14
8/19/2024,91,44,20,12,2,13
8/20/2024,86,43,7,12,2,13
8/21/2024,84,41,8,10,2,12
8/22/2024,83,50,7,8,1,14
8/23/2024,94, , , , , 
8/27/2024,84,46,13,8,2,13
8/28/2024,86,47,13,8,2,14
8/29/2024,89,44,14,8,2,15
8/30/2024,84,43,14,8,2,14
8/31/2024,84,40,14,8,2,14
9/1/2024,80,48,14,8,2,14
9/2/2024,91,50,14,8,1,14
9/3/2024,92,49,11,8,1,15
9/4/2024,90,49,11,8,1,14
9/5/2024,91,45,11,8,2,16
9/6/2024,86,46,11,8,1,14
9/7/2024,86,42,11,8,2,13
9/8/2024,83,47,11,8,1,14
9/9/2024,88,44,11,8,1,14
9/10/2024,83,48,11,8,1,17
9/11/2024,88,46,11,8,2,16
9/12/2024,86,49,11,8,1,16
9/13/2024,91,50,11,8,2,16
9/14/2024,91,47,11,8,2,15
9/15/2024,87,45,11,8,1,16
9/16/2024,85,45,11,8,2,16
9/17/2024,85,47,11,8,1,16
9/18/2024,90,50,11,8,1,16
9/19/2024,93,48,11,8,1,16
9/20/2024,89,49,11,8,1,16
9/21/2024,89,45,11,8,2,16
9/22/2024,86,41,11,7,2,16
9/23/2024,82,45,10,7,1,16
9/24/2024,86,43,9,8, ,16
9/25/2024,84,50,10,8, ,16
9/26/2024,92,49,9,8, ,16
9/27/2024,89,46,10,8, ,16
9/28/2024,86,46,10,8,1,16
9/29/2024,87,51,10,8, ,16
9/30/2024,92,51,10,9,1,16
4/5/2024,61,33,13,17,3,5
4/10/2024,77,46,19,13,4,4
4/11/2024,68,39,14,13,4,5
4/13/2024,64,36,13,13,4,4
4/14/2024,62,33,19,13,4,5
4/15/2024,66,37,18,13,4,4
4/16/2024,76,42,31,13,4,5
4/17/2024,120,69,16,1,3,5
