T,TM,Tm,H,VV,V,VM,PM2.5
22.7,26.9,20.3,83.0,8.5,14.8,18.3,81.0
23.6,27.8,20.3,74.0,6.9,12.0,14.8,85.0
22.7,28.3,20.4,82.0,6.3,9.6,14.8,85.0
23.1,27.6,20.3,84.0,6.9,9.3,11.1,77.0
23.3,28.2,20.2,82.0,6.9,9.1,14.8,69.0
23.7,28.8,20.6,79.0,6.9,8.9,11.1,76.0
23.3,27.3,20.5,76.0,6.9,10.9,16.5,92.0
23.5,27.3,20.0,82.0,6.9,9.4,14.8,98.0
23.8,27.4,20.7,78.0,6.9,6.7,11.1,72.0
23.8,27.8,20.5,78.0,6.9,8.3,11.1,86.0
23.1,28.3,20.3,81.0,6.9,10.0,22.2,88.0
21.9,27.2,19.4,85.0,5.5,8.7,18.3,73.2
23.6,28.0,18.7,77.0,6.9,9.6,22.2,73.2
23.3,28.6,20.8,76.0,6.9,8.5,16.5,85.0
22.8,28.8,20.1,79.0,6.9,8.5,11.1,90.0
23.8,27.8,20.3,74.0,6.9,11.7,22.2,70.0
23.1,28.1,20.2,78.0,6.6,8.0,11.1,95.0
21.9,27.7,19.7,84.0,7.4,11.1,14.8,58.0
22.0,25.4,20.0,88.0,5.5,8.3,13.0,84.0
23.4,27.6,20.2,76.0,6.3,9.8,18.3,77.0
22.7,28.2,20.5,82.0,6.3,10.0,14.8,70.0
21.9,26.5,20.0,84.0,5.5,7.6,14.8,57.0
21.4,25.6,19.7,88.0,5.5,9.8,18.3,40.0
21.7,24.6,19.4,85.0,7.4,10.2,18.3,44.0
21.9,25.0,19.6,88.0,5.5,10.0,22.2,50.0
22.2,25.7,20.1,87.0,5.5,7.6,11.1,56.0
22.4,25.7,20.2,82.0,4.8,10.6,18.3,42.0
23.2,26.8,20.3,78.0,4.8,10.9,18.3,64.0
23.4,27.5,20.0,76.0,6.3,11.5,18.3,88.0
23.3,27.4,20.7,77.0,6.3,13.1,18.3,77.0
22.8,27.3,20.2,78.0,6.9,11.7,18.3,81.0
23.3,27.4,19.7,72.0,6.9,10.6,18.3,83.0
23.7,28.2,19.7,72.0,6.9,9.4,18.3,88.0
23.3,28.0,20.5,77.0,6.3,8.7,11.1,75.0
22.4,28.8,19.9,83.0,6.9,7.6,11.1,64.0
23.7,27.8,19.8,75.0,6.9,8.3,11.1,82.0
22.4,28.5,20.0,83.0,6.3,6.3,14.8,62.0
21.9,28.3,19.5,86.0,6.3,6.7,11.1,78.0
22.6,26.4,19.6,82.0,6.9,8.5,14.8,76.0
22.9,27.4,20.0,82.0,6.9,7.6,11.1,91.0
23.3,28.2,20.3,82.0,6.9,5.9,9.4,105.0
23.3,28.8,20.3,78.0,7.4,6.9,11.1,90.0
23.7,28.3,20.0,73.0,6.9,6.5,11.1,92.0
23.8,28.2,20.3,71.0,6.6,7.8,9.4,87.0
24.7,29.3,19.7,61.0,6.9,6.5,9.4,105.0
24.4,29.8,19.7,61.0,6.6,7.2,11.1,98.0
24.3,29.9,20.4,64.0,6.3,7.8,14.8,92.0
24.4,29.2,19.9,65.0,6.9,7.8,11.1,91.0
24.4,29.2,20.3,63.0,6.9,8.7,14.8,82.0
24.3,29.1,20.1,66.0,6.9,7.8,14.8,88.0
25.7,30.0,20.5,59.0,6.9,5.4,9.4,86.0
24.1,31.1,21.6,72.0,6.9,3.7,7.6,98.0
25.3,30.0,21.7,64.0,5.5,3.3,5.4,105.0
25.9,31.1,20.9,63.0,6.9,3.0,5.4,84.0
25.0,31.6,22.3,72.0,6.9,1.9,3.5,93.0
24.8,30.3,20.4,69.0,6.3,1.5,5.4,99.0
23.9,31.7,20.1,77.0,6.6,2.0,5.4,94.9
22.6,30.3,20.5,89.0,5.0,1.9,3.5,94.9
24.3,26.6,21.0,69.0,6.4,5.7,11.1,118.0
24.1,28.2,20.3,69.0,6.9,9.1,14.8,77.0
22.7,29.1,19.5,81.0,6.3,5.0,9.4,86.0
23.5,28.4,20.0,71.0,6.3,5.7,9.4,95.0
23.9,28.2,18.4,64.0,6.9,4.8,7.6,96.0
24.3,29.0,21.4,76.0,5.5,1.3,3.5,113.0
23.5,28.8,19.3,76.0,5.5,1.9,3.5,92.0
24.4,29.7,20.4,72.0,6.3,1.5,3.5,100.0
23.7,30.3,19.9,79.0,5.5,0.4,3.5,106.0
25.1,29.2,21.3,72.0,6.9,3.5,5.4,109.0
25.3,29.9,21.4,69.0,6.9,3.7,7.6,91.0
25.4,30.2,21.8,75.0,6.3,3.5,5.4,92.0
25.5,30.9,21.6,73.0,6.9,5.2,7.6,95.0
24.9,30.3,21.3,71.0,6.9,4.6,5.4,73.0
24.1,30.4,21.6,75.0,6.9,5.0,7.6,77.0
21.8,30.6,20.8,91.0,4.8,4.3,9.4,83.0
23.0,25.8,20.6,84.0,4.8,6.3,7.6,69.0
22.5,26.4,20.4,88.0,5.5,5.7,7.6,75.0
24.2,28.2,20.2,70.0,6.9,3.3,5.4,77.0
24.1,29.5,20.8,72.0,6.3,3.1,3.5,112.0
24.3,29.5,20.6,65.0,6.3,1.5,5.4,107.0
24.0,30.0,20.0,58.0,6.9,2.4,5.4,130.0
25.0,30.0,20.0,56.0,9.2,0.9,3.5,135.0
25.1,31.0,20.8,56.0,6.9,3.0,7.6,150.0
25.0,31.5,20.4,67.0,6.3,2.4,5.4,148.0
24.0,30.3,21.0,75.0,6.9,3.1,3.5,137.0
23.4,29.8,20.1,82.0,6.9,0.4,3.5,117.0
24.3,28.6,20.7,75.0,6.9,5.0,7.6,122.0
22.4,29.3,19.8,83.0,6.9,3.3,5.4,99.0
23.1,28.5,18.9,79.0,6.3,3.1,5.4,309.0
24.4,28.7,20.2,71.0,7.4,3.1,3.5,77.0
23.8,29.3,19.7,58.0,6.9,3.1,3.5,90.0
23.7,29.0,19.7,60.0,6.3,5.0,7.6,117.0
23.5,28.4,17.4,50.0,6.3,3.1,7.6,116.0
21.9,29.4,17.4,62.0,5.0,2.4,5.4,132.0
24.7,30.2,17.7,49.0,7.4,5.7,11.1,124.0
23.9,30.2,18.2,58.0,5.5,5.0,9.4,116.0
23.8,29.3,18.7,58.0,6.6,4.6,7.6,128.0
23.4,29.5,18.2,51.0,6.9,3.7,7.6,91.0
23.5,29.5,16.7,40.0,6.3,2.8,7.6,98.0
23.0,29.6,16.8,43.0,6.3,2.2,5.4,92.0
24.1,29.8,16.6,54.0,5.5,3.7,7.6,103.0
24.8,30.1,19.7,64.0,6.3,4.6,11.1,100.0
24.3,30.4,20.0,65.0,6.3,3.9,5.4,61.0
22.9,30.3,19.8,78.0,6.6,5.2,5.4,50.0
22.8,27.7,20.4,81.0,5.5,8.1,14.8,67.0
23.5,28.1,18.8,71.0,6.9,6.5,9.4,61.0
23.6,29.0,19.7,66.0,6.3,5.6,11.1,69.0
24.1,29.6,19.8,63.0,6.9,4.1,7.6,83.0
23.3,30.0,18.0,48.0,6.9,3.9,7.6,86.0
22.2,29.6,16.0,60.0,6.9,3.0,5.4,103.0
23.4,29.2,17.5,58.0,6.3,5.0,7.6,79.0
23.4,30.1,17.9,58.0,7.6,1.3,3.5,102.0
23.2,30.4,18.2,53.0,5.6,1.9,3.5,107.0
22.3,30.3,17.3,50.0,6.9,2.0,5.4,108.0
22.4,30.0,16.2,44.0,6.9,1.3,3.5,124.0
23.0,30.5,14.8,44.0,6.9,0.9,3.5,121.0
23.3,31.0,16.5,68.0,6.9,5.4,7.6,109.0
22.4,28.6,19.7,79.0,6.9,6.5,7.6,66.0
20.9,24.8,19.6,93.0,4.0,3.1,5.4,75.0
22.9,26.4,19.0,76.0,6.0,3.9,9.4,374.0
22.6,27.6,19.2,70.0,4.8,3.1,5.4,129.0
22.2,28.8,18.0,66.0,5.6,3.3,5.4,141.0
20.8,29.0,16.3,64.0,5.0,5.0,9.4,115.0
21.6,27.4,15.5,69.0,6.0,5.9,7.6,99.0
22.4,28.8,18.3,72.0,6.0,5.7,9.4,94.0
23.2,28.0,18.6,66.0,5.5,6.7,14.8,101.0
21.8,29.5,18.0,62.0,6.3,4.3,9.4,98.0
21.8,28.3,15.6,56.0,6.9,4.6,7.6,72.0
21.7,28.8,18.2,67.0,6.9,3.3,7.6,76.0
22.4,27.2,19.1,80.0,6.9,4.3,5.4,78.0
23.2,27.2,19.5,73.0,6.9,5.6,11.1,286.0
23.5,28.3,20.0,73.0,6.3,4.6,7.6,101.0
22.3,29.3,18.3,70.0,6.8,3.1,5.4,92.0
22.5,28.2,17.7,72.0,6.8,4.8,7.6,130.0
23.1,29.4,17.6,62.0,5.8,5.2,11.1,127.0
22.6,30.2,18.3,63.0,5.8,2.0,5.4,143.0
22.7,29.3,17.7,67.0,5.6,0.4,3.5,157.0
23.1,28.8,18.5,66.0,6.0,1.3,3.5,121.1
22.3,29.9,18.7,70.0,6.0,3.0,9.4,121.1
22.8,28.9,17.7,59.0,5.3,3.1,5.4,121.1
21.8,28.9,17.7,59.0,6.3,7.0,9.4,106.0
20.5,28.0,16.6,58.0,6.0,4.8,9.4,132.0
19.8,25.0,15.4,57.0,6.9,3.1,7.6,152.0
20.2,26.3,14.4,59.0,4.5,4.1,5.4,133.0
21.6,28.5,16.0,67.0,6.3,3.1,11.1,117.0
22.2,27.7,17.7,63.0,6.9,2.8,7.6,103.0
22.7,28.4,18.1,65.0,6.3,3.9,5.4,109.0
23.0,28.8,18.2,66.0,6.6,5.2,66.5,110.0
23.2,29.6,19.6,69.0,6.3,7.2,11.1,89.0
23.3,29.0,18.3,64.0,6.3,4.4,7.6,99.0
23.4,29.1,18.4,62.0,6.0,5.7,9.4,120.0
23.8,30.2,17.7,56.0,5.5,6.1,9.4,112.0
24.0,31.4,19.0,63.0,6.3,5.4,7.6,123.0
22.8,29.6,18.7,68.0,5.3,4.6,7.6,135.0
21.8,25.4,18.0,68.0,6.6,4.8,7.6,139.0
20.6,26.6,17.2,65.0,5.5,5.0,7.6,130.0
20.9,25.8,16.6,51.0,6.6,3.9,11.1,121.1
23.8,29.5,21.3,80.0,6.9,6.9,14.8,82.0
22.6,28.5,20.6,78.0,6.3,8.3,11.1,91.0
24.1,27.8,20.4,72.0,6.9,9.4,14.8,91.0
23.4,29.0,20.6,76.0,6.3,7.4,11.1,91.0
23.4,28.2,20.8,79.0,6.9,9.8,14.8,84.0
22.9,27.6,20.1,78.0,6.9,8.1,11.1,84.0
24.2,29.4,19.8,69.0,6.9,7.4,14.8,81.0
24.7,29.9,20.5,65.0,6.9,8.0,14.8,71.0
23.6,30.4,20.5,72.0,6.3,12.2,22.2,68.0
23.8,27.4,20.6,70.0,6.9,11.7,14.8,68.0
24.4,28.8,21.0,71.0,8.9,9.1,14.8,66.4
22.4,27.9,20.6,82.0,5.5,7.4,14.8,66.4
21.8,25.6,20.0,85.0,6.3,10.4,18.3,66.4
22.1,25.4,20.4,87.0,6.3,12.8,18.3,66.4
22.0,25.2,20.8,88.0,6.9,11.9,18.3,66.4
21.8,24.8,20.0,90.0,6.3,13.0,22.2,66.4
22.7,25.6,19.8,83.0,6.3,9.6,14.8,66.4
23.0,27.0,20.0,85.0,6.9,7.4,11.1,66.4
23.2,27.5,20.2,87.0,6.3,7.4,11.1,66.4
23.1,27.6,20.6,82.0,6.6,6.7,9.4,66.4
22.8,27.4,20.7,84.0,6.9,7.8,11.1,71.0
23.2,28.4,20.5,81.0,6.9,7.4,11.1,60.0
23.1,27.8,21.0,83.0,6.9,8.3,18.3,66.0
22.2,28.6,20.0,86.0,6.3,5.0,14.8,65.0
21.7,24.8,20.6,93.0,5.5,2.4,5.4,71.0
23.5,28.4,20.2,82.0,6.9,3.0,5.4,70.0
22.8,29.0,20.1,86.0,6.9,2.4,5.4,64.0
23.2,26.8,20.8,82.0,6.9,5.7,11.1,68.0
22.7,27.3,20.6,86.0,6.3,6.1,14.8,70.0
22.7,27.5,20.2,83.0,6.9,8.0,11.1,68.0
22.7,27.6,20.0,81.0,6.3,5.6,7.6,64.0
23.0,27.6,20.0,78.0,6.9,7.2,14.8,59.0
23.0,28.3,20.0,77.0,6.9,7.8,14.8,60.0
23.9,28.2,20.4,73.0,6.9,8.5,14.8,66.4
23.7,29.0,20.0,76.0,6.9,7.2,9.4,66.4
24.1,29.3,20.6,76.0,6.9,7.6,11.1,66.4
24.7,29.0,20.6,70.0,7.4,8.1,14.8,66.4
23.0,28.7,20.4,80.0,6.9,9.1,14.8,66.4
23.0,26.4,20.4,77.0,6.9,8.3,14.8,68.6
22.3,26.8,20.3,85.0,6.9,5.6,11.1,68.6
22.2,26.4,20.1,84.0,5.5,10.4,14.8,68.6
22.1,26.4,20.3,86.0,6.3,9.3,14.8,68.6
22.6,26.8,20.4,83.0,6.9,8.5,14.8,89.0
22.8,27.4,20.4,82.0,6.3,9.6,22.2,58.0
23.2,27.3,20.4,78.0,6.9,11.9,22.2,53.0
23.6,27.8,20.8,76.0,6.9,8.3,14.8,68.6
24.1,27.5,21.0,73.0,6.9,10.2,14.8,49.0
24.2,27.9,20.6,76.0,6.9,10.9,14.8,80.0
24.1,28.0,21.3,76.0,6.3,8.5,14.8,68.6
24.0,28.5,21.0,73.0,6.3,6.7,11.1,68.6
25.0,29.8,21.0,69.0,7.4,7.4,11.1,68.6
25.1,30.2,21.2,69.0,6.9,7.4,9.4,68.6
24.8,30.7,21.3,69.0,6.3,7.8,11.1,68.6
23.2,29.5,20.8,80.0,6.3,7.4,11.1,111.0
23.2,28.8,20.2,83.0,6.9,5.7,11.1,60.0
23.9,26.8,21.6,79.0,6.9,5.6,11.1,65.0
24.2,27.6,21.2,75.0,6.3,5.9,9.4,69.0
