T,TM,Tm,H,VV,V,VM,PM2.5
22.2,28.4,16.6,53,7.7,0.9,5.4,136.0
22.2,29,18.4,62,6,3.9,5.4,136.0
21.6,27.6,17,61,6.3,5,7.6,136.0
20.7,28.3,15.5,54,6.3,4.8,7.6,136.0
20.2,27.2,14.7,52,5.8,2.8,5.4,136.0
20.4,27.2,15.2,52,6.3,4.1,7.6,136.0
20.1,27.2,14.8,50,6.9,6.5,7.6,136.0
21.2,26.6,15.5,59,6.3,6.7,9.4,160.0
21.8,27.1,18.2,66,5.8,5.7,11.1,122.0
22.7,28.3,17.3,65,6.9,4.8,9.4,112.0
23.1,29.4,18.7,64,6.3,3.9,7.6,121.0
23.4,30.6,17.6,48,6.3,4.1,5.4,126.0
23.3,31,16.3,42,5.8,2.8,11.1,128.0
22.4,30.7,16.3,49,6.3,3.3,7.6,141.0
22.9,30.5,17.1,49,6.3,3.9,7.6,140.0
21.8,29.9,16.8,49,5.5,5.6,7.6,148.0
21.2,28.6,15.3,41,6.3,6.7,11.1,139.0
20.7,28.7,14.3,48,6.9,7.2,9.4,179.0
20.4,28,14.2,45,6.3,4.6,7.6,114.0
20.9,28.5,14.3,46,6.3,4.1,7.6,103.0
20.4,29,14.4,48,5.6,4.6,7.6,114.0
22.1,28.8,15.3,57,6,2.8,5.4,144.0
22.4,29.7,17.2,59,6.3,2.2,11.1,144.0
22.7,29.1,17.1,48,6.3,2,5.4,133.0
21.9,29.8,16.2,44,6.3,2.6,7.6,137.0
21.3,29,16,53,6.9,4.4,11.1,151.0
21.9,28.2,16.5,50,6.3,5.4,11.1,141.0
22,29.2,16,50,6.9,5.9,7.6,131.0
21.5,29.5,15.7,47,5.6,3.9,11.1,152.0
21.4,29.2,15,42,6.9,5.2,9.4,147.0
21.9,29.6,13.2,26,6.9,3.1,7.6,136.0
22.6,30.4,15.9,30,8.5,5.4,9.4,118.0
21.7,30.1,15.8,32,6.9,6.3,11.1,107.0
21.2,29.4,13.4,40,6.9,5.6,9.4,94.0
22.3,30,13.7,37,7.4,5.7,11.1,112.0
24.4,31.8,18,50,6.9,4.6,7.6,123.0
23.3,32.3,20.2,67,6.3,3,5.4,112.0
23.3,30,19.2,54,6.9,2.4,5.4,123.0
24.4,30.2,19.7,61,6.9,1.5,5.4,124.0
24.2,31.6,19.7,55,6.3,5,9.4,127.0
24,30.7,17.7,51,6,5.6,9.4,91.0
23.3,30.8,18,62,6.8,5.7,11.1,116.4
23.5,30.2,18.5,49,6.3,5,11.1,111.0
23.3,29.9,17.9,58,6.9,5.6,7.6,120.0
23.4,30.7,17.4,60,6.3,5.7,7.6,122.0
23.7,31,17.6,38,6.9,4.4,5.4,122.0
23.8,31.3,17.5,42,6.9,3.7,7.6,127.0
24,31.9,17.7,42,6.9,3.9,7.6,111.0
24.3,32.1,16.8,34,6.3,5,9.4,116.0
22.8,32.2,17.4,39,6.9,7.4,18.3,107.0
24.2,31.5,17.5,31,6.9,5.4,11.1,134.0
24.9,31.5,17.8,30,6.9,4.1,9.4,137.0
24.3,32.4,18.4,26,6.9,5.2,14.8,141.0
23.2,31.2,15.6,41,6.9,6.5,11.1,114.0
24.7,31.2,17.3,34,7.4,6.9,11.1,91.0
25,32,17.8,34,6.9,3.9,5.4,98.0
25.2,32.7,18.2,28,6.9,5.9,11.1,98.0
25,33,16.7,27,6.9,6.1,16.5,127.0
25.2,33.2,18.2,26,6.9,5.2,7.6,114.0
25.5,32.5,18.3,25,6.9,4.8,7.6,122.0
25.7,33.2,17.5,21,6.9,2.4,5.4,120.0
26.1,34.4,18.3,24,6.9,3.7,7.6,87.0
26.3,34,18.3,24,6.9,5.9,11.1,117.0
25.9,34.4,17.5,17,7.7,3.9,9.4,108.0
25.5,34.6,16.5,29,7.7,7,11.1,122.0
25.4,33.5,18.5,25,6.9,5.7,9.4,137.0
